time,orderId,event,publishTimeTaken,relayDelay
1570624388725,LTFGQMLLJTYO,PATCH,2302,78822
1570624388644,LTFGQMKHWUJF,PATCH,2218,77983
1570624485167,LT4ANECO4B7ME,PATCH,45565,59082
1570624485185,LT4ANECZ7AU78,CREATE,47081,64874
1570624485169,LTFGQMVJSPN1,UPDATE,46564,59118
1570624389101,LTFGQM9LN1D1,PATCH,797,80133
1570624388770,LT4ANEBKJD5XK,PATCH,2337,77614
1570624488198,LT4ANEB678APY,PATCH,1782,52504
1570624416161,LTFGQMA4P2XB,PATCH,1080,82629
1570624388643,LTFGQLIVMMCD,PATCH,2223,79396
1570624485307,LTFGQMNW7IKP,PATCH,47162,62876
1570624394380,LTFGQMQ4LB6T,PATCH,2606,68202
1570624395052,LTFGQMSLKVL3,PATCH,3217,68674
1570624394888,LTFGQMUVTT1Y,PATCH,1023,61366
1570624488838,LTFGQMLQXDMA,PATCH,2991,62097
1570624488981,LTFGQM8DJY2I,PATCH,3138,62629
1570624388810,LT4ANE0IFC0OO,PATCH,2376,77561
1570624489244,LT4ANE1V7EXIA,PATCH,2913,54321
1570624391438,LTFGQMDKHSZ6,PATCH,115,71839
1570624391454,LTFGQMTIXFCT,PATCH,129,78081
1570624391413,LTFGQMUASPSQ,UPDATE,290,74107
1570624391505,LTFGQMUASPSQ,UPDATE,91,69796
1570624389101,LT4ANDZH7CNTM,PATCH,777,78042
1570624391082,LTFGQMG44UDI,UPDATE,1291,71726
1570624391082,LTFGQMJGUF6T,UPDATE,1254,71648
1570624391118,LT4ANE8YY8V4O,PATCH,1782,77816
1570624391135,LTFGQM9CJNNH,PATCH,1623,76108
1570624391325,LTFGQMKJ3VV4,PATCH,1537,72238
1570624391187,LTFGQMEGTMUB,PATCH,1540,74389
1570624485166,LTFGQMADEEHZ,PATCH,46531,65184
1570624393738,LTFGQMBV9NU6,PATCH,1543,60712
1570624485169,LTFGQMHAV1WF,PATCH,46516,64770
1570624485196,LTFGQMWC7UY7,CREATE,47080,63702
1570624619372,LTFGQMOZIKH9,PATCH,409,99345
1570624619600,LT16YHYBZ3VKIK,PATCH,3617,100772
1570624489604,LTFGQMDYZ0MZ,UPDATE,3670,61228
1570624489476,LTFGQM9MPDTT,UPDATE,2937,50560
1570624489604,LTFGQMLIOQ7S,UPDATE,3668,61221
1570624489859,LT4ANECNNDZ24,PATCH,3675,56511
1570624490051,LTFGQMUO3MYY,PATCH,301,55796
1570624391563,LT4ANDZUTKR84,PATCH,80,76219
1570624391092,LTFGQMUORFMH,CREATE,1207,69414
1570624391118,LT4ANEBRJYYGW,UPDATE,1824,77861
1570624391092,LTFGQMQNY7IO,PATCH,1157,69381
1570624391093,LTFGQMSVE84U,PATCH,1156,69383
1570624391125,LTFGQMJ1KZ09,PATCH,1705,77297
1570624391245,LT4ANDZH7CNTM,PATCH,1523,72858
1570624391189,LTFGQMQZ05QC,PATCH,1577,75322
1570624391134,LTFGQMR9QGR5,PATCH,1657,76297
1570624391118,LT4ANDZUTKR84,PATCH,1730,77706
1570624391284,LTFGQMH9DDAX,PATCH,1563,73297
1570624391325,LT4ANE92HSHQQ,UPDATE,1535,71981
1570624394408,LT4ANEBPL8RHU,PATCH,1219,60518
1570624485307,LT4ANDZ7EQ6NW,UPDATE,47172,63308
1570624395142,LT4ANE3I454US,PATCH,3288,67269
1570624394955,LTFGQMTC9KQV,PATCH,3122,68676
1570624395199,LT4ANECJXDSH8,CREATE,3343,67253
1570624617605,LTFGQMVTEC89,PATCH,3316,94582
1570624485735,LTFGQMP6JWY7,PATCH,153,62479
1570624485305,LTFGQJORII2V,UPDATE,47162,63137
1570624485563,LT4ANE5BG99VK,PATCH,289,63564
1570624617605,LTFGQMO5SXFP,PATCH,3330,94632
1570624391417,LT4ANEC7NQ87G,PATCH,296,76028
1570624391506,LTFGQMTIXFCT,PATCH,52,76207
1570624627626,LTFGQMNDGYKO,PATCH,2017,102563
1570624627676,LTFGQMY7MGIU,CREATE,1542,92991
1570624627654,LTFGQMNF5UR7,PATCH,1500,92632
1570624391645,LT4ANDZUTKR84,PATCH,82,74307
1570624619661,LTFGQMKCZ4LB,UPDATE,3764,95671
1570624619805,LTFGQMWV5GZ4,UPDATE,38,97764
1570624393867,LT16YHZHT0HT5S,CREATE,1648,60032
1570624393190,LTFGQMUUPXFU,CREATE,1043,61579
1570624488254,LTFGQMJRMHZ3,PATCH,1833,51329
1570624616732,LT4ANE3KWZ66M,PATCH,2461,93842
1570624617124,LTFGQMNDQ133,PATCH,1073,97212
1570624485167,LTFGQMO7P04N,PATCH,45665,59001
1570624485177,LTFGQLLCVJNC,PATCH,45585,59261
1570624625591,LTFGQMA4P2XB,PATCH,114,100942
1570624625591,LT16YHYBZ3VKIK,PATCH,134,103459
1570624415139,LT4ANE9C3DIFY,PATCH,23197,86588
1570624415163,LT4ANE7JPND52,PATCH,23198,86475
1570624619163,LTFGQMVMKEK1,PATCH,4860,96102
1570624619629,LTFGQMTL1WPU,PATCH,3757,97865
1570624393189,LTFGQMQ146G0,PATCH,1044,61843
1570624393189,LT4ANEBPL8RHU,PATCH,1043,61663
1570624392782,LTFGQMGX7P6K,PATCH,1096,69891
1570624393653,LTFGQMO6LBOP,PATCH,1483,61559
1570624393653,LTFGQMQSJ2IT,PATCH,1460,61229
